Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800502024,1663,1337,326,190,0,9,0,1,12,2,0,165,18,2,16,76,0,34,8,5,36,1,1,0,10,7,0,2,0,1,12,1,1,6,6,0,0
2800502025,1496,1185,311,237,1,63,0,2,21,2,1,144,13,0,8,21,0,7,7,0,15,1,1,1,1,0,0,4,0,6,1,0,0,25,23,0,0
2800502026,1773,1393,380,211,0,19,1,5,15,7,1,161,6,0,3,46,0,10,19,0,79,4,1,2,24,10,1,8,4,5,6,1,5,38,32,1,0
2800502027,1660,1410,250,160,0,9,0,2,41,0,0,106,21,2,15,44,11,19,8,5,25,1,2,0,9,0,0,2,0,2,1,0,5,0,0,0,0
2800502028,1808,1708,100,62,2,4,0,5,15,1,0,33,10,0,8,9,1,2,5,0,16,2,0,1,5,1,1,4,0,0,0,0,2,3,3,0,0
2800502029,1417,1390,27,19,2,0,0,1,7,0,1,8,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,3,3,0,0
2800502030,1054,894,160,111,0,16,0,0,28,3,0,63,13,0,13,12,0,8,1,0,23,0,0,3,4,3,1,6,3,1,0,0,1,1,0,0,0
2800502031,1797,1731,66,32,0,0,0,2,4,0,1,25,11,0,10,6,6,0,0,0,15,0,0,0,8,1,0,0,0,0,1,0,3,2,2,0,0
2800502032,1406,1181,225,143,1,6,0,6,15,1,0,110,22,0,14,12,0,4,6,0,38,6,0,4,4,2,1,7,3,1,6,0,4,10,9,0,0
2800502033,1430,1225,205,145,0,14,0,3,15,2,0,110,9,0,6,15,0,4,9,2,22,0,0,1,7,3,0,2,0,0,3,1,3,13,11,0,1
