TIPO_ELECCION;ANIO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
04;2011;05;072654;L.I.D.E.R.;LIBERALES INDEPENDIENTES DE EL ROMERAL;002654;002654;002654
04;2011;05;093819;ULI;UNITAT LOCAL INDEPENDENT;003819;003819;003819
04;2011;05;033022;P.I.N.S.I.;PARTIDO INDEPENDIENTE DE SIERO;003022;003022;003022
04;2011;05;121380;GPGR;CONSERVADORES POR GRIÑON;001380;001380;001380
04;2011;05;002232;I.A.A.;INDEPENDIENTES AGRUPADOS DE AZUAGA;002232;002232;002232
04;2011;05;132253;I.E.;INDEPENDIENTES DE ESTERIBAR;002253;002253;002253
04;2011;05;003751;U.I.TO.R;UNION INDEPENDIENTE DE TORREJON DEL REY;003751;003751;003751
04;2011;05;001278;XM;COALICION INDEPENDIENTE POR MOAÑA;001278;001278;001278
04;2011;05;100561;TU;AGRUPACION LOCAL TORREJON UNIDO;000561;000561;000561
04;2011;05;090061;Jm;AGRUPACIÓ D'ELECTORS JUIÀ MILLOR;000061;000061;000061
04;2011;05;000623;AGRUPA;AGRUPACION UNIDOS POR ANTIGUA;000623;000623;000623
04;2011;05;140236;SARRAGOA;AGRUPACIÓN DE ELECTORES SARRAGOA;000236;000236;000236
04;2011;05;173833;UPP:CM;UNITS PEL POBLE: COMPROMÍS MUNICIPAL;003833;003833;003833
04;2011;05;131113;C. POP. DE ETAYO;CANDIDATURA POPULAR DE ETAYO;001113;001113;001113
04;2011;05;093830;UNICAT;UNITS PEL CATLLAR;003830;003830;003830
04;2011;05;003364;ApT;PLATAFORMA CIUDADANA ALBALAT PEL TERRITORI;003364;003364;003364
04;2011;05;090703;AdIP;ALTERNATIVA INDEPENDENT POBLE;000703;000703;000703
04;2011;05;091391;CiU;CONVÈRGENCIA I UNIÓ;001395;001395;001395
04;2011;05;011430;D.I.L.;DEMOCRATAS INDEPENDIENTES LOCALES;001430;001430;001430
04;2011;05;000631;A. V. IRUÑA DE OCA;AGRUPACION VECINAL DE IRUÑA DE OCA;000631;000631;000631
04;2011;05;091520;EPSP - AM;ENTESA PER SANT PERE - ACORD MUNICIPAL;001593;001593;001593
04;2011;05;010715;ALIS;ALTERNATIVA INDEPENDIENTE SANROQUEÑA;000715;000715;000715
04;2011;05;092763;9 SV;NOU SANT VICENÇ;002763;002763;002763
04;2011;05;093919;VxC;VILAFORTUNY X CAMBRILS;003919;003919;003919
04;2011;05;001313;PSM-ESQUERRA-PSOE-ENTESA;COALICIO+VILAFRANCA;001313;001313;001313
04;2011;05;001507;E C;ENTESA PER CELRÀ;001507;001507;001507
04;2011;05;093359;P.P.;PETIT POPULAR;003076;003076;003076
04;2011;05;080632;AVR;AGRUPACION VECINAL ROBLEDO;000632;000632;000632
04;2011;05;083528;SEGOVIA DE IZQUIERDAS;SEGOVIA DE IZQUIERDAS;003528;003528;003528
04;2011;05;173147;PSD-PSICV;PARTIDO SOCIALDEMÓCRATA - PARTIDO SOCIALDEMÓCRATA INDEPENDIENTE COMUNIDAD VALENCIANA;003151;003151;003151
04;2011;05;000316;AGELINVIC;AGRUPACION ELECTORAL INDEPENDIENTE DE VILLERIAS DE CAMPOS;000316;000316;000316
04;2011;05;123397;PLoC;PLATAFORMA LOCAL CIUDADANA;003397;003397;003397
04;2011;05;043491;PSM-EN-APIB;PSM-ENTESA;003491;003491;003491
04;2011;05;090858;A.R.A.-C.U.P.;ASSEMBLEA REPUBLICANA ALTERNATIVA-CANDIDATURA D'UNITAT POPULAR;001051;001051;001051
04;2011;05;072224;AlternativAlovera;INDEPENDIENTE ALTERNATIVA ALOVERA;002224;002224;002224
04;2011;05;000878;AZKOITIA BAI;AZKOITIA BAI;000878;000878;000878
04;2011;05;091505;ICV-EUIA-E;ENTESA PER CANET-INICIATIVA PER CATALUNYA VERDS-ESQUERA UNIDA I ALTERNATIVA-ENTESA;002387;002387;002387
04;2011;05;000213;ADEIZA-UPZ;AGRUPACION DE ELECTORES INDEPENDIENTES ZAMORANOS-UNION DEL PUEBLO ZAMORANO;000213;000213;000213
04;2011;05;103526;SI;SAUCEDILLA INDEPENDIENTE;003526;003526;003526
04;2011;05;170915;C.M. COMPROMÍS;BLOC-COMPROMÍS PER BONREPÒS I MIRAMBELL: COALICIÓ MUNICIPAL COMPROMIS;000990;000990;000990
04;2011;05;000012;ACIR;ACCION CIUDADANA RESPONSABLE;000012;000012;000012
04;2011;05;152547;IUV-RM;IZQUIERDA UNIDA-VERDES DE LA REGIÓN DE MURCIA;002535;002535;002453
04;2011;05;000776;ALTERNATIVA POR SELAYA;ALTERNATIVA POR SELAYA;000776;000776;000776
04;2011;05;081193;C's;CIUDADANOS-PARTIDO DE LA CIUDADANIA;001193;001193;001193
04;2011;05;090741;ApC;ALTERNATIVA PER COLLBATÓ;000741;000741;000741
04;2011;05;090742;ApG - FIC;ALTERNATIVA PER GANDESA - FEDERACIO D'INDEPENDENTS DE CATALUNYA;001704;001704;001704
04;2011;05;123611;ECOLO VERDES;TRAS-ECOLO VERDES;001446;001446;001446
04;2011;05;090868;ATREVEIX-TE-REAGRUPAMENT;ATREVEIX-TE-REAGRUPAMENT;000868;000868;000868
04;2011;05;103384;PG;PLATAFORMA GRANJEÑA;003384;003384;003384
04;2011;05;090032;AM-AM;ACORD MUNICIPAL PER MONTELLÀ I MARTINET-ACORD MUNICIPAL;001593;001593;001593
04;2011;05;011469;OLI P.P.;EL OLIVO DE PINOS PUENTE;001469;001469;001469
04;2011;05;102540;IULV;IZQUIERDA UNIDA-VERDES;002554;002554;002453
04;2011;05;002271;I.S.T;INDEPENDIENTES DE SANTIAGO DEL TEIDE;002271;002271;002271
04;2011;05;002276;I.E.P.;INDEPENDIENTES EN PONTEDEUME;002276;002276;002276
04;2011;05;003738;UPLF;UNION DE PUEBLOS DE LES FRANQUESES DEL VALLES;003738;003738;003738
04;2011;05;002892;pCUA;PARTIDO CIUDADANOS UNIDOS DE ARAGON;002892;002892;002892
04;2011;05;093583;SPM;SUPORT PER MANLLEU -SOPORTE POR MALLEU;003583;003583;003583
04;2011;05;121447;ECOLO VERDES;ECOLO VERDES;001446;001446;001446
04;2011;05;141678;E.A.-S. V.;EUSKO ALKARTASUNA -SOLIDARIDAD VASCA;001678;001678;001678
04;2011;05;002424;IRS;INICIATIVA REAGRUPACION SOCIALISTA;002424;002424;002424
04;2011;05;172785;NEC;NUEVO ESPACIO CIUDADANO;002785;002785;002785
04;2011;05;001044;TRxC;CANDIDATURA CIVICA TRANSPARENCIA POR CALVIA;001044;001044;001044
04;2011;05;000373;CIME;AGRUPACION INDEPENDIENTE "CANDIDATURA INDEPENDIENTE MUNICIPAL DE ESPIRDO";000373;000373;000373
04;2011;05;170979;C.M.COMPROMÍS;BLOC NACIONALISTA VALENCIÀ-COALICIÓ MUNICIPAL COMPROMIS;000990;000990;000990
04;2011;05;053742;UF;UNION FRONTERA;003742;003742;003742
